(行者,4189,4.916269871762262,81.47143544208727)
(八戒,1747,5.3333286144975025,223.37125785291806)
(师父,1546,5.283203728738,182.78507109273983)
(三藏,1287,4.6865879835607815,144.7353126556275)
(大圣,1047,5.236441962829952,103.06102219974608)
(唐僧,972,5.42495001748142,136.47409364806805)
(沙僧,780,5.303304908059064,135.09009710754532)
(和尚,732,4.488636369732142,487.1591760299625)
(怎么,707,5.323009979138406,187.8279217728758)
(菩萨,623,5.225746673713214,763.6843322966733)
(长老,612,5.153291594497774,80.99467963334341)
(妖精,604,4.762173934797755,142.910363582619)
(老孙,563,5.068904202220224,71.42463961064296)
(什么,478,4.67282883446191,345.4120944444444)
(国王,455,4.779303395218087,120.75283148988089)
(呆子,417,4.356708826689594,167.07037678748816)
(徒弟,408,3.8712010109078947,264.03065728838226)
(闻言,348,3.9512437185814298,210.3367162015223)
(小妖,348,4.553876891600548,58.47779317294369)
(悟空,331,4.189654742026424,393.3188671919607)
(如何,321,3.90864372409775,87.68533689790159)
(宝贝,257,4.143134726391537,671.5761712471874)
(兄弟,255,4.094344562222102,231.15160332075996)
(如今,236,4.718498871295093,84.22343707772531)
(今日,236,4.562709268206292,113.91901463006413)
(取经,224,4.204692619390968,182.6285814575929)
(这般,215,4.219507705176104,64.26974432634302)
(西天,203,3.7841896339182655,61.746169585856926)
(铁棒,202,3.6888794541139402,460.2828850845038)
(师徒,200,2.824269116463954,57.59970064620123)
(认得,199,4.061624315441203,80.5030572479792)
(孙大圣,191,4.615120516841256,74.15131476838586)
(老爷,190,4.110873864173309,56.40477967440152)
(公主,190,4.317488113536302,362.5686411149826)
(东土,187,3.8066624897703174,341.16516586015854)
(果然,184,3.075938934734196,166.24403323052985)
(太子,178,4.2766661190160535,72.39361541630416)
(哥哥,177,3.0910424533583143,270.9432255824696)
(妖魔,174,4.304065093204166,50.01672053436759)
(性命,173,3.8918202981106305,340.444641965596)
(变作,170,3.877005028375689,204.7393323240881)
(师兄,166,3.8712010109078947,66.96700167945774)
(行李,164,3.8066624897703174,65.77075827579243)
(观看,157,3.479941101545632,92.84400914745036)
(土地,154,4.204692619390968,182.90655161393414)
(神通,152,3.9889840465642794,222.60480093676816)
(爷爷,151,3.4965075614664793,262.5695951659208)
(怎生,151,4.049778694674874,54.96389013264678)
(慌得,146,2.2702285072311996,69.28490798709922)
(模样,144,3.7841896339182655,1411.8490935815776)
(二十,144,2.2679191142707325,63.78360909744894)
